Model,Train_AUC,Train_Accuracy,Train_Sensitivity,Train_Specificity,Train_Precision,Train_F1,Test_AUC,Test_Accuracy,Test_Sensitivity,Test_Specificity,Test_Precision,Test_F1,HL_Stat,HL_p_value
LR,0.822360248447205,0.7580645161290323,0.8,0.7515527950310559,0.3333333333333333,0.47058823529411764,0.6772068511198946,0.6375,0.5454545454545454,0.6521739130434783,0.2,0.2926829268292683,7.338491987706717,0.5005907108420871
SVM,0.8009937888198757,0.7956989247311828,0.52,0.8385093167701864,0.3333333333333333,0.40625,0.6258234519104084,0.775,0.45454545454545453,0.8260869565217391,0.29411764705882354,0.35714285714285715,9.519534656070919,0.3003788914138502
RF,0.9540372670807453,0.8440860215053764,0.88,0.8385093167701864,0.4583333333333333,0.6027397260273972,0.785243741765481,0.7875,0.6363636363636364,0.8115942028985508,0.35,0.45161290322580644,6.129219456733521,0.6327599290661647
DT,0.9469565217391304,0.7419354838709677,1.0,0.7018633540372671,0.3424657534246575,0.5102040816326531,0.7661396574440054,0.625,0.8181818181818182,0.5942028985507246,0.24324324324324326,0.375,6.23127747473983,0.6213428492652096
NB,0.7619875776397516,0.6236559139784946,0.84,0.5900621118012422,0.2413793103448276,0.375,0.613965744400527,0.575,0.6363636363636364,0.5652173913043478,0.1891891891891892,0.2916666666666667,2.134120114913941,0.9766215690583407
